         4335 function calls in 2.059 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.059    2.059 <string>:1(<module>)
        3    0.000    0.000    0.000    0.000 <string>:12(__new__)
        2    0.000    0.000    0.000    0.000 __init__.py:1465(cpu_times)
        1    0.000    0.000    1.001    1.001 __init__.py:1601(cpu_times_percent)
        1    0.000    0.000    0.000    0.000 __init__.py:1618(calculate)
        1    0.000    0.000    0.000    0.000 __init__.py:1683(virtual_memory)
        3    0.000    0.000    0.000    0.000 __init__.py:1764(disk_usage)
        1    0.000    0.000    0.001    0.001 __init__.py:1772(disk_partitions)
        6    0.000    0.000    0.000    0.000 __init__.py:271(loads)
        2    0.000    0.000    0.000    0.000 _common.py:116(wrapper)
        4    0.000    0.000    0.000    0.000 _common.py:90(usage_percent)
       42    0.000    0.000    0.000    0.000 _policybase.py:277(_sanitize_header)
       44    0.000    0.000    0.000    0.000 _policybase.py:289(header_source_parse)
       42    0.000    0.000    0.000    0.000 _policybase.py:307(header_fetch_parse)
        3    0.000    0.000    0.000    0.000 _pslinux.py:140(open_binary)
        1    0.000    0.000    0.000    0.000 _pslinux.py:144(open_text)
        4    0.000    0.000    0.000    0.000 _pslinux.py:158(get_procfs_path)
        1    0.000    0.000    0.000    0.000 _pslinux.py:254(virtual_memory)
        2    0.000    0.000    0.000    0.000 _pslinux.py:331(cpu_times)
        2    0.000    0.000    0.000    0.000 _pslinux.py:343(<listcomp>)
        1    0.000    0.000    0.001    0.001 _pslinux.py:829(disk_partitions)
        3    0.000    0.000    0.000    0.000 _psposix.py:119(disk_usage)
       36    0.000    0.000    0.001    0.000 client.py:1053(putheader)
        6    0.000    0.000    0.003    0.001 client.py:1081(endheaders)
        6    0.000    0.000    0.004    0.001 client.py:1096(request)
        6    0.000    0.000    0.004    0.001 client.py:1124(_send_request)
        6    0.000    0.000    0.000    0.000 client.py:1126(<listcomp>)
        6    0.000    0.000    0.037    0.006 client.py:1145(getresponse)
